question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,easy,1
$\sin ^{-1} x+\cos ^{-1} x=?$,,easy,"Property of inverse co-ratios
\[
\begin{array}{ll}
\sin ^{-1}(x)+\cos ^{-1}(x)=\frac{\pi}{2} & \cos e c^{-1}(x)+\sec ^{-1}(x)=\frac{\pi}{2} \\
\tan ^{-1}(x)+\cot ^{-1}(x)=\frac{\pi}{2}
\end{array}
\]",,96,0,$\pi$,$\frac{\pi}{2}$,$\frac{\pi}{3}$,,,,,3,,
Range of $\operatorname{Tan}^{-1} \mathrm{x}$ is,,easy,Theoretical Point,,96,R,"$\left[-\frac{\pi}{2}, \frac{\pi}{2}\right]$","$\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$","$[0, \pi]$",,,,,3,,
Range of $\operatorname{cosec}^{-1} x$ is,,easy,"range of $\operatorname{cosec}^{-1}(x)$ is $\left[-\frac{\pi}{2}, \frac{\pi}{2}\right]-0$",,96,"$(0, \pi)$","$\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$","$[0, \pi]$",None of these,,,,,2,,
$\cos e c^{-1}\left(\frac{-2}{\sqrt{2}}\right)=?$,,easy,$\left(-\frac{2}{\sqrt{2}}\right)=(-\sqrt{2}) \rightarrow-\frac{\pi}{4}$,,96,$-\frac{\pi}{4}$,$-\frac{\pi}{3}$,$-\frac{\pi}{2}$,$\frac{\pi}{4}$,,,,,1,,
Which of the following can be the solution of $\sin 2 x=\cos x ?$,,moderate,"$\begin{array}{l}\text { Sol: } \sin \sin 2 x=2 \sin \sin x \cos \cos x=\cos \cos x \\ 2 \sin \sin x \cos \cos x-\cos \cos x=(2 \sin \sin x-1) \cos \cos x=0 \\ 2 \sin \sin x-1=0 \rightarrow 2 \sin \sin x=1 & \cos \cos x=0 \\ \sin \sin x=\frac{1}{2} \rightarrow x=\left(\frac{1}{2}\right) \rightarrow x=\frac{\pi}{6}, \frac{5 \pi}{6} & x=\frac{\pi}{2}, \frac{3 \pi}{2}\end{array}$",,96,"$\left\{\frac{\pi}{4}, \frac{3 \pi}{4}\right\}$","$\left\{\frac{\pi}{3}, \frac{\pi}{4}\right\}$","$\left\{\frac{2 \pi}{3}, \frac{3 \pi}{4}\right\}$","$\left\{\frac{\pi}{2}, \frac{3 \pi}{2}\right\}$",,,,,4,,
"Solve for $x, \quad \cos x=-\frac{\sqrt{3}}{2}$",,easy,Basic Value,,96,$\frac{\pi}{2}$,$\frac{\pi}{3}$,$\frac{5 \pi}{6}$,$\frac{\pi}{4}$,,,,,3,,
$\sin ^{-1}(-x)=?$,,easy,Theoretical Formula,,96,x,$\cos ^{-1} \frac{1}{x}$,$-x$,$\pi-x$,,,,,3,,
$\cot ^{-1} x=?$,,easy,Theoretical Formula,,96,$\frac{1}{\tan ^{-1} x}$,$\tan ^{-1}\left(\frac{1}{x}\right)$,-x,x,,,,,2,,
$\operatorname{cosec}^{-1} x=?$,,easy,Theoretical Formula,,96,$\sec ^{-1} x$,$\sin ^{-1} x$,$\frac{1}{\sin ^{-1}(x)}$,$\sin ^{-1}\left(\frac{1}{x}\right)$,,,,,4,,
The value of $\sin \left[\cos ^{-1}\left(\frac{3}{4}\right)\right]=$,,moderate,"$x=\sqrt{1-x^{2}}$ Using this relation
\[
\sin \sin (\sqrt{1-\left(\frac{3}{4}\right)^{2}})=\sqrt{1-\frac{9}{16}}=\frac{\sqrt{7}}{4}
\]",,96,$\frac{7}{4}$,$\frac{\sqrt{7}}{4}$,$\frac{4}{7}$,$\frac{5}{4}$,,,,,2,,
Domain of $\operatorname{Sec}^{-1} x=?$,,easy,Theoretical Point,,96,"$\left\{-\frac{\pi}{2}, \frac{\pi}{2}\right\}$","$\left[-\frac{\pi}{2}, \frac{\pi}{2}\right]$","$[0, \pi]$","$x \geq 1, x \leq-1$",,,,,4,,
Domain of $\operatorname{Cot}^{-1} \times$ is,,easy,Theoretical Point,,96,R,"$\left[-\frac{\pi}{2}, \frac{\pi}{2}\right]$","(-1,1)","$\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$",,,,,1,,
Range of $\cos ^{-1} x$ is,,easy,Theoretical Point,,96,"[-1,1]","$[0, \pi]$","$\left(-\frac{\pi}{2}, \frac{\pi}{2}\right)$",None of these,,,,,2,,
$\tan \left(\cos ^{-1}\left(-\frac{1}{2}\right)\right)=?$,,easy,$\tan \tan \left(\left(\frac{1}{2}\right)\right)=\tan \tan \left(\frac{2 \pi}{3}\right)=-\sqrt{3}$,,96,$\frac{1}{2}$,$\frac{1}{\sqrt{3}}$,$-\frac{1}{\sqrt{3}}$,$-\sqrt{3}$,,,,,4,,
$\sin ^{-1}(1)+\cos ^{-1}(1)=?$,,easy,"Property of inverse co-ratios
\[
\begin{array}{ll}
\sin ^{-1}(x)+\cos ^{-1}(x)=\frac{\pi}{2} & \cos e c^{-1}(x)+\sec ^{-1}(x)=\frac{\pi}{2} \\
\tan ^{-1}(x)+\cot ^{-1}(x)=\frac{\pi}{2}
\end{array}
\]",,96,$\frac{\pi}{4}$,$\frac{\pi}{2}$,-1,1,,,,,2,,
The principal value of $\cot ^{-1}(-1)$ is,,easy,"The range of $x$ is $(0, \pi) .$ Basic Solution",,96,$\frac{3 \pi}{4}$,$\frac{\pi}{4}$,$-\frac{\pi}{4}$,$\frac{5 \pi}{4}$,,,,,1,,
Trigonometric equation contains __________ trigonometric functions.,,easy,Definition,,96,at least one,at the most one,exactly four,exactly one,,,,,1,,
Trigonometric functions are ___________.,,easy,Definition,,96,one-one,continuous,Periodic,non-periodic,,,,,3,,
A trigonometric equation has_____________ solution(s).,,easy,The periodicity of trigonometric function generates infinite many solution,,96,Only one,two,Many,infinite,,,,,4,,
"To solve a trigonometric equation ,firstly we find the solution over the interval which is ;",,easy,Check the periodicity of trigonometric function to get complete solution,,96,Domai,range,Period,none of these,,,,,3,,
The solution of $\sin ^{2} x=\frac{3}{4}$ is,,moderate,"$\sin \sin x=\sqrt{\frac{3}{4}}=\pm \frac{\sqrt{3}}{2} \quad x=\frac{\pi}{3}$ for $\frac{\sqrt{3}}{2}$
$\& \quad x=\frac{2 \pi}{3} f o r-\frac{\sqrt{3}}{2}$",,96,"$\frac{\pi}{3}, \frac{2 \pi}{3}$","$\frac{4 \pi}{3}, \frac{\pi}{4}$","$-\frac{\pi}{4}, \frac{2 \pi}{3}$","$-\frac{\pi}{4}, \frac{2 \pi}{5}$",,,,,1,,
"$x=\tan ^{-1}\left(\frac{1}{2}\right), y=\tan ^{-1}\left(\frac{1}{3}\right)$,then $x+y=?$",,moderate,"$A+B=\left(\frac{A+B}{1-A B}\right) \quad$ Using the summation relation
$x+y=\left(\frac{1}{2}\right)+\left(\frac{1}{3}\right)=\left(\frac{\frac{1}{2}+\frac{1}{3}}{1-\frac{1}{2}}\right)=\left(\frac{\frac{2-2}{3}}{\frac{1}{6}}\right)=\left(\frac{5}{6}\right)=1=\frac{\pi}{4}$",,96,$\frac{\pi}{2}$,$\frac{\pi}{3}$,$\frac{\pi}{6}$,$\frac{\pi}{4}$,,,,,4,,
$\tan \left(\sin ^{-1}\left(\frac{1}{2}\right)\right)=?$,,easy,$\tan \tan \left(\left(\frac{1}{2}\right)\right)=\tan \tan \left(\frac{\pi}{6}\right)=\frac{1}{\sqrt{3}}$,,96,$\frac{1}{\sqrt{3}}$,$\frac{1}{2}$,$\sqrt{3}$,0,,,,,1,,
$\cos \left(\tan ^{-1} \infty\right)=?$,,easy,$\cos \cos (\infty)=\cos \cos \left(\frac{\pi}{2}\right)=0$,,96,0,$\infty$,$\frac{\pi}{2}$,$\frac{\pi}{3}$,,,,,1,,
"If $x+y=\frac{5}{6}, \quad x y=\frac{1}{6}$ then $\tan ^{-1}(x)+\tan ^{-1}(y)=?$",,moderate,$(x)+(y)=\left(\frac{x+y}{1-x y}\right)=\left(\frac{\frac{3}{6}}{1-\frac{1}{6}}\right)=\left(\frac{5}{5}\right)=1=\frac{\pi}{4}$,,96,1,$\frac{\pi}{4}$,$\frac{\pi}{2}$,$\frac{\pi}{6}$,,,,,2,,
$\frac{1}{x} \sin \left(\csc ^{-1}\left(\frac{1}{x}\right)\right)=?$,,easy,$\frac{1}{x} \sin \sin \left(\left(\frac{1}{x}\right)\right)=\frac{1}{x} \sin \sin ((x))=\frac{1}{x} * x=1$,,96,x,$\frac{1}{x}$,1,-1,,,,,3,,
Solution of $\cos 4 x=\cos 2 x$ is,,moderate,"$\cos \cos 4 x-\cos \cos 2 x=-2 \sin \sin 3 x \sin \sin x=\sin \sin 3 x \sin \sin x=0$
$\sin \sin 3 x=0 \quad$ at $\frac{n \pi}{3} \quad \sin \sin x=0$ at $n \pi$
The solution is: $\frac{n \pi}{3} \cup n \pi=\frac{n \pi}{3}$",,96,$\frac{\pi}{3}$,$\frac{\pi}{6}$,$\frac{n \pi}{12}$,$\frac{n \pi}{3}$,,,,,4,,
If $4 \sin ^{-1}(x)+\cos ^{-1}(x)=\pi$ then $x=?$,,moderate,"Reverse Solve:
(a) $4(1)+(1)=4\left(\frac{\pi}{2}\right)+0=2 \pi$ Not Satisfy
(b) $4\left(\frac{1}{2}\right)+\left(\frac{1}{2}\right)=4\left(\frac{\pi}{6}\right)+\frac{\pi}{3}=\frac{2 \pi+\pi}{3}=\frac{3 \pi}{3}=\pi \quad$ Satisfy",,96,1,$\frac{1}{2}$,$\frac{1}{\sqrt{3}}$,$\frac{\sqrt{3}}{2}$,,,,,2,,
$\cos ^{-1}\left(\cos \frac{6 \pi}{7}\right)=?$,,easy,"For same function and inverse, the answer is the angle itself.",,96,$\frac{\pi}{7}$,$\frac{6 \pi}{7}$,$\frac{8 \pi}{7}$,$\frac{11 \pi}{7}$,,,,,2,,
"Number of solutions of $\tan x+\sec x=2 \cos x, x \in[0,2 \pi]$ are",,easy,"For every single degree trigonometric equation, there are 2 solutions in $[0,2 \pi]$
\[
\begin{array}{c}
\frac{\sin \sin x}{\cos \cos x}+\frac{\operatorname{range}}{\cos \cos x}=\frac{\sin \sin x+1}{\cos \cos x}=2 \cos \cos x \quad \rightarrow \quad \sin \sin x+1=2 x \\
\quad \sin \sin x+1=2(1-x)=2(1-\sin \sin x)(1+\sin \sin x) \\
2-2 \sin \sin x=1 \quad \rightarrow \quad 2 \sin \sin x=1 \quad \rightarrow \sin \sin x=\frac{1}{2}, \quad x=\left\{\frac{\pi}{6}, \frac{5 \pi}{6}\right\}
\end{array}
\]",,96,0,1,2,3,,,,,3,,
Domain of the function $\sin ^{-1}(x)$ is,,easy,Theoretical Point,,96,"$(-\pi, \pi)$","[-1,1]","$[0,2 \pi]$","$(-\infty, \infty)$",,,,,2,,
$\tan \left(\cos ^{-1}(x)\right)=?$,,easy,$(x)=\left(\frac{\sqrt{1-x^{2}}}{x}\right) \quad$ Important Point,,96,$\frac{\sqrt{1-x^{2}}}{x}$,$\frac{x}{\sqrt{1+x^{2}}}$,$\frac{\sqrt{1+x^{2}}}{x}$,$\frac{x}{\sqrt{1-x^{2}}}$,,,,,1,,
$\sin \left[2 \sin ^{-1}(0.8)\right]=?$,,moderate,"$\sin \sin [2(0.8)]=\sin \sin [(2(0.8) \sqrt{1-.8^{2}}]=\sin \sin [(1.6 * .6)]=0.96$
$2 x=(2 x \sqrt{1-x^{2}})$",,96,1.2,1.6,0.48,0.96,,,,,4,,
$2 \tan ^{-1}\left(\frac{1}{3}\right)+\tan ^{-1}\left(\frac{1}{7}\right)=?$,,moderate,"$2\left(\frac{1}{3}\right)=\left(\frac{\frac{2}{3}}{1-\frac{1}{9}}\right)=\left(\frac{\frac{2}{3}}{\frac{3}{9}}\right)=\left(\frac{3}{4}\right)$
$\left(\frac{3}{4}\right)+\left(\frac{1}{7}\right)=\left(\frac{\frac{3}{4}+\frac{1}{7}}{1-\frac{3}{4}}\right)=\left(\frac{21+4}{28-3}\right)=\left(\frac{25}{25}\right)$
$=1=\frac{\pi}{4}$",,96,$\frac{49}{29}$,$\frac{\pi}{2}$,0,$\frac{\pi}{4}$,,,,,4,,
$\lim _{x \rightarrow 0} \frac{\sqrt{49+x}-7}{x}=?$,,easy,"Use the formula of derivative: $\frac{\sqrt{x-a}-\sqrt{a}}{x}=\frac{1}{2 \sqrt{a}}$ Applying the limit:
\[
\frac{1}{2 \sqrt{49}}=\frac{1}{2(7)}=\frac{1}{14}
\]",,98,0,$\frac{1}{14}$,-6,$\infty$,,,,,2,,
The domain of the function $h(x)=\sqrt{x^{2}-4}$ is,,easy,"The interval -2,2 turns the function in imaginary output.",,98,Real no's,Real no's $-\{2\}$,"R-(-2,2)",$\{x / x \in R \wedge-2<x<2\}$,,,,,3,,
$\lim _{x \rightarrow 0} e^{\frac{-1}{x^{4}}}=?$,,easy,"Solving the limit:
\[
e^{-\frac{1}{0}}=e^{-\infty}=0
\]
Any number raised to power $-\infty$ is $0: a^{-\infty}=0$",,98,-1,0,1,$\infty$,,,,,2,,
The domain of the inverse of the function $f(x)=2+\sqrt{x-1}$,,moderate,"Range of function varies at $[2, \infty),$ so domain of inverse function is range of simple function.",,98,"$[1, \infty)$","[$2, \infty)$","$(1, \infty)$","$(2, \infty)$",,,,,2,,
$\lim _{x \rightarrow c} \frac{x^{p}-c^{p}}{x-c}=?$,,easy,"Basic Formula application:
\[
\frac{x^{n}-\alpha^{n}}{x-a}=n a^{n-1} \quad \forall a>0
\]",,98,0,1,$p x^{p-1}$,$p c^{p-1}$,,,,,4,,
$\lim _{x \rightarrow 3} \frac{4 x-8}{x+2}=?$,,easy,Evaluate the limit: $\frac{4(3)-8}{3+2}=\frac{12-8}{5}=\frac{4}{5}$,,98,-6,20,-20,$\frac{4}{5}$,,,,,4,,
Given $f(x)=x^{2}+3$ then $f(a+b)=?$,,easy,input of function: $f(a+b)=(a+b)^{2}+3=a^{2}+b^{2}+2 a b+3$,,98,$a^{2}+b^{2}+2 a b+3$,$a^{2}+b^{2}-2 a b-3$,$a^{2}+b^{2}-3 a b$,$x^{2}+3$,,,,,1,,
$\lim _{x \rightarrow 0} \frac{5 x^{4}+3 x^{3}+9}{7 x^{4}+5 x^{2}+17}=?$,,easy,"Don’t solve, just pick the values without x for limit approaching 0",,98,$\frac{5}{7}$,$\frac{3}{5}$,$\frac{9}{17}$,0,,,,,3,,
"Let the variable $Z$ take in succession the values $6,6 \frac{1}{2}, 6 \frac{2}{3}, 6 \frac{4}{5}, \cdots$ then $Z \rightarrow ?$",,easy,Theoretical Point,,98,0,7,5,6,,,,,2,,
"Give $f(x)=4 x+5, g(x)=3 x+7$ then $f(g(x))=?$",,easy,Input of function: $f(g(x))=f(3 x+7)=4(3 x+7)+5=12 x+33$,,98,$12x+28$,$12x+33$,$4x-31$,$25x+34$,,,,,2,,
$\lim _{x \rightarrow 0} \frac{x^{5}+3 x^{3}+9 x^{2}+7 x+8}{2 x^{6}+17 x^{4}+3 x^{2}+5}=?$,,easy,"Don't solve: since $x \rightarrow 0$, choose the values without $x$",,98,0,$\frac{8}{5}$,$\frac{1}{2}$,$\infty$,,,,,2,,
$\lim _{z \rightarrow 0} \frac{\sin p z}{m z}=?$,,easy,"Using Sandwich theorem:
\[
\frac{\sin \sin p z}{p z} * \frac{p}{m}=1 * \frac{p}{m}=\frac{p}{m}
\]",,98,0,$\infty$,$\frac{1}{m}$,$\frac{p}{m}$,,,,,4,,
"Which one is true?
(l) $\lim _{x \rightarrow \infty} e^{x}=\infty$
(II) $\lim _{x \rightarrow \infty} e^{x}=0$
$(III) \lim _{x \rightarrow \infty} a^{x}=a$
",,easy,statement II and II answer in infinity,,98,I & II only,II and III only,I only,all,,,,,3,,
"Let $|X|$ denotes the number of elements in $X$, then $|X \times Y|=?$",,easy,The number of elements in product of two sets is product of number of elements in each set.,,98,$|X|+|Y|$,$|X|-|Y|$,$|X| \times|Y|$,none,,,,,3,,
"Let $A=\{3,5,7,-9\}, B=\{0,1,-3\}$ and $R=\{(3,0),(5,1),(7,-3),(-9,0)\}$ then domain of $R=?$",,easy,The domain of relation is all the x entries in order pair of relation.,,98,"\{0,1,-3,0\}","\{0,1,-3\}","\{3,5,7,-9\}","\{3,5\}",,,,,3,,
$\lim _{x \rightarrow 0} \frac{1-\cos 2 x}{x^{2}}=?$,,moderate,$\begin{aligned}\left(\frac{1-x+x}{x^{2}}\right)=& \frac{2 x}{x^{2}} \quad \text { Apply the limit } \\ &=2\left(\frac{\sin \sin (x)}{x}\right)^{2}=2(1)=2 \end{aligned}$,,98,0,1,-1,2,,,,,4,,
$\lim _{x \rightarrow 3} \frac{x^{3}-27}{x^{2}-9}=$,,moderate,"$\frac{(x-3)\left(x^{2}+9+3 x\right)}{(x-3)(x+3)}=\frac{x^{2}+3 x+9}{x+3} \quad$ Apply the limit
\[
=\frac{3^{2}+3(3)+9}{3+3}=\frac{27}{6}=\frac{9}{2}
\]",,98,0,$\infty$,1,$\frac{9}{2}$,,,,,4,,
$\lim _{\theta \rightarrow 0} \frac{1-\cos p \theta}{1-\cos q \theta}=?$,,moderate,"\[
\frac{\frac{1-\cos \cos p \theta}{2}}{\frac{1-\cos \cos q \theta}{2}}=\frac{\frac{p}{2} \theta}{\frac{q}{2} \theta}=\left(\frac{\sin \sin \frac{p}{2} \theta}{\frac{p}{2}}\right)^{2}\left(\frac{\frac{q}{2}}{\sin \sin \frac{q}{2} \theta}\right)^{2} * \frac{q^{2}}{p^{2}}
\]
Applying the limit and Sandwich theorem:
\[
\left(\frac{\sin \sin \frac{p}{2} \theta}{\frac{p}{2}}\right)^{2}\left(\frac{\frac{q}{2}}{\sin \sin \frac{q}{2} \theta}\right)^{2} * \frac{q^{2}}{p^{2}}=(1)(1) \frac{q^{2}}{p^{2}}
\]",,98,$\frac{p^{2}}{q^{2}}$,$\frac{q^{2}}{p^{2}}$,0,$\infty$,,,,,2,,
$\lim _{x \rightarrow a} \frac{f(x)-f(a)}{x-a}=?$,,moderate,Both are definition of derivative,,98,$\lim _{h \rightarrow 0} \frac{f(a+h)+f(a)}{h}$,$\lim _{h \rightarrow 0} \frac{f(a+h)-f(a)}{h}$,lna,e,,,,,2,,
Inverse function of $y=\frac{x}{x+5}$ is,,easy,$\begin{aligned} y(x+5) &=x \rightarrow x y+5 y-x=0 \rightarrow x(y-1)=-5 y \rightarrow x=-\frac{3 y}{y-1} \\ x &=\frac{5 y}{1-y} \quad \text { Replacing the variable: } f^{-1}(x)=\frac{5 x}{1-x} \end{aligned}$,,98,$\frac{x}{x+5}$,$\frac{x}{x-5}$,$\frac{x}{1-x}$,$\frac{5 x}{1-x}$,,,,,4,,
$\lim _{h \rightarrow 0} \cos e c(\pi+h)=?$,,easy,$\csc \csc (\pi+h)=\csc \csc (\pi)=\infty$,,98,0,1,-1,$\infty$,,,,,4,,
The graph of the function $y=\log \log x$ has an asymptote at,,easy,$\log \log x$ at $x=0$ is undefined.,,98,y=0,x=0,x=10,y=10,,,,,2,,
$\lim _{x \rightarrow \infty}\left(\frac{x}{1+x}\right)^{x}=?$,,easy,$\left(\frac{1+x}{x}\right)^{-x}=\left(\left(1+\frac{1}{x}\right)^{x}\right)^{-1}=e^{-1}$,,98,e,$e^{-1}$,$e^{2}$,$\frac{1}{e^{2}}$,,,,,2,,
"The graph of the parametric equations $x=t^{2}$ and $y=t$
When $-2 \leq t \leq 2$ represents",,easy,"$x=t^{2}, \quad y=t$ is parametric eq. of parabola $y^{2}=(t)^{2}=x ; \quad y^{2}=x$",,98,Circle,parabola,ellipse,straight line,,,,,2,,
"If $A=\{1,2, \ldots \ldots \ldots \ldots \ldots n\},$ how many distinct relations can be defined on $A$ ?",,easy,Theoretical point,,98,$n^{2}$,$2^{n}$,$2^{n^{2}}$,0,,,,,3,,
$\lim _{x \rightarrow 0} \frac{e^{\frac{-1}{x^{2}}}}{1+e^{\frac{-1}{x^{2}}}}=?$,,easy,Apply the limit: $\frac{e^{-t}}{1+e^{-\frac{1}{0}}}=\frac{e^{-\infty}}{1+e^{-\infty}}=\frac{0}{1}=0$,,98,0,1,-1,$\infty$,,,,,1,,
$\lim _{x \rightarrow 0}(1-4 x)^{\frac{1}{x}}=?$,,easy,$\left((1+(-4 x))^{\frac{1}{4 x}}\right)^{-4}=e^{-4}=1 / e^{4}$,,98,$e^{4}$,$\frac{1}{e^{4}}$,e,$e^{-4 x}$,,,,,2,,
$\lim _{\theta \rightarrow \frac{\pi}{2}} \tan \left(\frac{\theta}{2}\right)=?$,,easy,Apply the limit: $\tan \tan \left(\frac{\pi}{2 * 2}\right)=\tan \tan \left(\frac{\pi}{4}\right)=1$,,98,1,0,$\infty$,-1,,,,,1,,
"The values of $b$ and $c$ for which $f(x+1)-f(x)=8 x+3$ holds true, where $f(x)=b x^{2}+$ $c x+d,$ are",,moderate,"Reverse Solve: $f(x+1)-f(x)=b(x+1)^{2}+c(x+1)+d-b x^{2}-c x-d$
$\quad=b x^{2}+2 b x+b+c x+c-b x^{2}-c x=2 b x+b+c$
$\begin{array}{ll}\text { (a) } 2(2) x+2-1=4 x+1 & \text { Not Satisfy } \\ \text { (b) } 2(4) x+4-1=8 x+3 & \text { Satisfy }\end{array}$",,98,"b = 2, c = -1","b = 4, c = -1","b = -1, c = 4",none,,,,,2,,
$f(x)=x^{2}-\frac{1}{x^{2}}$ then $f(x)=?$,,easy,$-f\left(\frac{1}{x}\right)=-\left(\left(\frac{1}{x}\right)^{2}-\frac{1}{\left(\frac{1}{x}\right)^{2}}\right)=-\left(\frac{1}{x^{2}}-x^{2}\right)=x^{2}-\frac{1}{x^{2}}$,,98,$-f\left(\frac{1}{x}\right)$,$f\left(\frac{1}{x}\right)$,$f^{-1}(x)$,$f\left(x^{2}\right)$,,,,,1,,
The range of the function $f(x)=[x]$ is,,easy,The bracket explains the number should be whole or possible greatest integer so $\mathrm{Z}$ is the answer.,,98,N,Z,R,None,,,,,2,,
$\lim _{x \rightarrow 0} \frac{(1-\cos 2 x) \sin 5 x}{x^{2} \sin 3 x}=?$,,moderate,"\[
\frac{2 * \frac{(1-\cos \cos 2 x)}{2} \sin \sin 5 x}{x^{2} \sin \sin 3 x}=2 \frac{\frac{(\sin \sin x)^{2}}{x^{2}} \frac{\sin \sin 5 x}{5 x}}{\sin \sin 3 x} * \frac{5}{3 x} \text { Applying the }
\]
limit
\[
\frac{10}{3}\left(\left(\frac{x}{x^{2}}\right)\left(\frac{\sin \sin 5 x}{5 x}\right)\left(\frac{3 x}{\sin \sin 3 x}\right)=\frac{10}{3}\right.
\]",,98,$\frac{10}{3}$,$\frac{3}{10}$,$\frac{6}{5}$,$\frac{5}{6}$,,,,,4,,
$\lim _{x \rightarrow \infty} \frac{x^{2}-3 x+2}{2 x^{3}+x-3}=?$,,easy,"choose the highest power for limit infinity: since the fraction is proper limit is 0
Or: $\quad \frac{\frac{x^{2}}{x^{3}}-3 \frac{x}{x^{3}}+2 \frac{1}{x^{3}}}{2 \frac{x^{3}}{x^{3}}+\frac{x}{x^{3}}-3 \frac{1}{x^{3}}}=\frac{\frac{1}{x}-3 \frac{1}{x^{2}}+2 \frac{1}{x^{3}}}{2+\frac{1}{x^{2}}-3 \frac{1}{x^{3}}} \quad$ Apply the limit
\[
\frac{\frac{1}{\infty}-3 \frac{1}{\infty}+2 \frac{1}{\infty}}{2+\frac{1}{\infty}-3 \frac{1}{\infty}}=\frac{0-3(0)+2(0)}{2+0-3(0)}=\frac{0}{2}=0
\]",,98,2,$\frac{1}{2}$,0,does not exist,,,,,3,,
$\lim _{x \rightarrow \infty} \frac{\sin x}{x}=?$,,easy,"the sine function has range $[-1,1],$ so it is defined.
\[
\frac{a}{\infty}=0
\]",,98,0,undefined,1,$\infty$,,,,,1,,
$\lim _{x \rightarrow \infty}\left(\frac{x}{x+2}\right)^{x}=?$,,easy,$\left(\frac{x+2}{x}\right)^{-x}=\left(1+\frac{2}{x}\right)^{\frac{x}{2} *-2}=e^{-2}=\frac{1}{e^{2}}$,,98,e,$e^{-1}$,$\frac{1}{e^{2}}$,$e^{5}$,,,,,3,,
$\frac{e^{x}+e^{-x}}{e^{x}-e^{-x}}=?$,,easy,Theoretical Formula,,98,tanhx,cothx,$\operatorname{coth}^{-1} x$,cosechx,,,,,2,,
$\cosh ^{-1} x=$,,easy,Theoretical Formula,,98,$\frac{1}{2} \ln (1+x)$,$\frac{1}{2} \ln (1-x)$,$\frac{1}{2} \ln (x+\sqrt{x^{2}-1})$,$\ln (x+\sqrt{x^{2}-1})$,,,,,4,,
Which of the following is an implicit function?,,easy,the variable can not be separated in this.,,98,y=x-1,$y-1=x^{2}$,$x^{2}+y+2=0$,$x^{2}+x y+y^{2}=9$,,,,,4,,
If $f(x)=4 x^{2}+x y+y^{2}-7$ then $f(x)$ is $(a n)$ function,,easy,$f(-x)=4(-x)^{2}+(-x)(y)+y^{2}-7=4 x^{2}-x y+y^{2}-7 \neq-f(x)$,,98,Even,odd,both even and odd,Neither even nor odd,,,,,4,,
$f(x)=\frac{3 x+1}{2 x-1}$ then $f\left(f^{-1}(2)\right)=?$,,easy,$f\left(f^{-1}(x)\right)=x$,,98,x,$1 / 2$,2,7,,,,,2,,
Let $p$ be a +ve rational number if $x^{p}$ is defined then $\lim _{x \rightarrow \infty} \frac{a}{x^{p}}=?$,,easy,any defined number divided by infinity $=0 . \frac{a}{\infty}=0$,,98,1,p,0,x,,,,,3,,
"If $f(x) \leq g(x) \leq h(x)$ and $\lim _{x \rightarrow c} f(x)=\lim _{x \rightarrow c} h(x)=2$,then $\lim _{x \rightarrow c} g(x)=?$",,easy,"The sandwich relation:
\[
2 \leq g(x) \leq 2
\]",,98,<2,>2,2,nothing can be said ,,,,,3,,
For a function if right hand limit = left hand limit then which of the following must be true,,easy,Important point:	the existence of limit does not make function defined or continuous.,,98,Function is continuous,Function has same domain and range,Function is defined,its limit exists,,,,,4,,
Which of the following cannot be the graph of a function?,http://d15o1jx56rxevg.cloudfront.net/ecat/maths/m15_functions/44.PNG,easy,Apply the vertical line test. The vertical line intersect circles at two point instead of one.,,98,A,B,C,D,,,,,3,,
"If $h(x)=3 x+2$ and $h(f(x))=x,$ then $f(2)=?$",,moderate,"If $h(f(x))=x,$ it means $f$ and $h$ are inverse of each other so we need the value of $x$ where $h(x)=2: \quad 2=3 x+2 \rightarrow x=0$",,98,0,2,-2,1,,,,,1,,
The domain of the function $f(x)=\frac{|x+2|}{x+2}$,,easy,The function is discontinuous at x=-2,,98,$\mathbb{R}-\{2\}$,$\mathbb{R}$,$\mathbb{R}-\{\pm 2\}$,$\mathbb{R}-\{-2\}$,,,,,4,,
$\log _{2}\left[\log _{3}\left[\log _{2} x\right]\right]=1$ then $x=?$,,moderate,"$[[x]]=1 \rightarrow 2^{3^{2}}=2^{9}=x^{1}=x$
Reverse Solve:
(a) $\left[\left[2^{2(3)}\right]\right]=[2(3)]=(3+2) \neq 1$
(b) $\left[\left[3^{4}\right]\right] \quad$ cannot be solved further
(c) $\left[\left[2^{9}\right]\right]=[9]=2=1 \quad$ Satisfy",,98,$4^{3}$,$3^{4}$,$2^{9}$,$2^{2}$,,,,,3,,
The domain of the function $g(x)=e^{\sqrt{x^{2}-1}} \cdot \ln (x-1)$ is;,,easy,$\ln \ln (x-1)$ is undefined at $x \leq 1$,,98,"$(1, \infty)$","$[1, \infty)$",$\mathbb{R}-\{1\}$,"$[1, \infty]$",,,,,1,,
The graph of $x^{2}+y^{2}=9$ is symmetrical about,,easy,"It is a circle with radius 3 and origin 0,0",,98,x-axis,y-axis,origin,All of these,,,,,4,,
